Color	Type	SKU	Description	Base Price
CSW	BASE CABINETS	CSW-B09FHD	"Full Height Base Cabinet 9""W × 34 1/2""H × 24""D"	83.67
CSW	BASE CABINETS	CSW-B12	"Base Cabinet 12""W × 34 1/2""H × 24""D"	121.55
CSW	BASE CABINETS	CSW-B15	"Base Cabinet 15""W × 34 1/2""H × 24""D"	127.17
CSW	BASE CABINETS	CSW-B18	"Base Cabinet 18""W × 34 1/2""H × 24""D"	137.93
CSW	BASE CABINETS	CSW-B21	"Base Cabinet 21""W × 34 1/2""H × 24""D"	149.18
CSW	BASE CABINETS	CSW-B24	"Base Cabinet 24""W × 34 1/2""H × 24""D"	171.42
CSW	BASE CABINETS	CSW-B27	"Base Cabinet 27""W × 34 1/2""H × 24""D"	179.97
CSW	BASE CABINETS	CSW-B30	"Base Cabinet 30""W × 34 1/2""H × 24""D"	209.8
CSW	BASE CABINETS	CSW-B33	"Base Cabinet 33""W × 34 1/2""H × 24""D"	220.8
CSW	BASE CABINETS	CSW-B36	"Base Cabinet 36""W × 34 1/2""H × 24""D"	234.97
CSW	BASE CABINETS	CSW-B39	"Base Cabinet 36""W × 34 1/2""H × 24""D"	239.86
CSW	BASE CABINETS	CSW-B42	"Base Cabinet 42""W × 34 1/2""H × 24""D"	259.17
CSW	DRAWER BASE CABINETS	CSW-DB12	"3 Drawer Base Cabinet 12""W × 34 1/2""H × 24""D"	168 
CSW	DRAWER BASE CABINETS	CSW-DB15	"3 Drawer Base Cabinet 15""W × 34 1/2""H × 24""D"	184.62
CSW	DRAWER BASE CABINETS	CSW-DB18	"3 Drawer Base Cabinet 18""W × 34 1/2""H × 24""D"	197.57
CSW	DRAWER BASE CABINETS	CSW-DB21	"3 Drawer Base Cabinet 21""W × 34 1/2""H × 24""D"	207.84
CSW	DRAWER BASE CABINETS	CSW-DB24	"3 Drawer Base Cabinet 24""W × 34 1/2""H × 24""D"	214.44
CSW	DRAWER BASE CABINETS	CSW-DB27	"3 Drawer Base Cabinet 30""W × 34 1/2""H × 24""D"	240.68
